grid,nodes,edges,t_dense_factor_ms,t_sparse_factor_ms,t_dense_solve_ms,t_sparse_solve_ms
8,64,112,0.4300,0.1258,0.0153,0.0015
12,144,264,4.3243,0.1976,0.0847,0.0042
16,256,480,22.8858,0.5147,0.2817,0.0090
24,576,1104,241.9492,2.3029,1.4662,0.0292
32,1024,1984,2891.4886,7.8421,5.0020,0.0661
48,2304,4512,19344.6633,33.5227,28.6952,0.2553
64,4096,8064,260966.5055,112.6300,112.9409,0.2428
